name,description,price,stock,category,image,
Vintage Trunk Storage Box,A vintage-inspired storage trunk with metal hardware and a faux leather exterior. Doubles as a coffee table or blanket chest.,289.99,9,Storage,https://images.unsplash.com/photo-1748512437466-b79a6c646092?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Terracotta Planter Set,A set of three handmade terracotta planters in graduated sizes. Adds earthy warmth to any room or outdoor patio.,59.99,28,Decor,https://images.unsplash.com/photo-1621512366232-0b7b78983782?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Rattan Lounge Chair,A comfortable rattan lounge chair with a plush cushion in natural linen. A boho-chic addition to any living room or sunroom.,499.99,6,Living Room,https://images.unsplash.com/photo-1623145571974-d9c41b34ca8d?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Vintage Style Coat Rack,A freestanding coat rack in an antique bronze finish with six double hooks. Elegant and practical for entryways.,159.99,12,Decor,https://images.unsplash.com/photo-1592178034856-845669eff0d8?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Upholstered Wingback Chair,A classic wingback chair upholstered in a warm caramel fabric. Features a solid wood frame and nailhead trim.,849.99,5,Living Room,https://images.unsplash.com/photo-1722357533644-9b20e356ba5f?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Marble Top Side Table,An elegant side table with a genuine marble top and brushed gold legs. A luxurious accent for living rooms and bedrooms.,349.99,8,Living Room,https://images.unsplash.com/photo-1717416699020-9e3a3ff2351a?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Vintage Persian Style Rug,A richly patterned Persian-style area rug in deep jewel tones of burgundy and navy. Hand-knotted for durability and beauty.,899.99,4,Rugs,https://images.unsplash.com/photo-1594847915592-2a7ef568e2b6?q=80&w=910&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Linen Upholstered Bed Frame,A minimalist bed frame upholstered in soft grey linen with a low-profile headboard. Available in Queen and King.,1199.99,5,Bedroom,https://plus.unsplash.com/premium_photo-1682663742998-9cacb3d6728e?q=80&w=1026&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Brass Geometric Candle Sconce,A set of two wall-mounted brass candle sconces in a bold geometric design. Adds architectural interest to walls.,139.99,16,Lighting,https://images.unsplash.com/photo-1662042769653-252de8b7c306?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Spindle Back Dining Chairs Set of 4,A set of four classic spindle-back dining chairs in a natural oak finish. Timeless design that complements any dining table.,699.99,4,Dining,https://plus.unsplash.com/premium_photo-1684445034763-013f0525c40c?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Carved Wooden Trinket Box,A beautifully hand-carved wooden trinket box with floral motifs. Perfect for storing jewelry and small keepsakes.,49.99,22,Decor,https://images.unsplash.com/photo-1672664003230-106aa4f534c7?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Hammered Copper Vase,A stunning hammered copper vase with a rustic patina finish. Makes a striking centerpiece for dining tables and shelves.,89.99,17,Decor,https://images.unsplash.com/photo-1643722060220-6a729cb7c3b4?q=80&w=926&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Rattan Headboard,A handwoven rattan headboard that brings a natural boho feel to any bedroom. Available in Queen and King sizes.,399.99,7,Bedroom,https://images.unsplash.com/photo-1757417983938-2c2a931d41aa?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Vintage Map Framed Print,A large framed vintage-style world map print in sepia tones. A classic piece for home offices and living rooms.,129.99,14,Decor,https://images.unsplash.com/photo-1723306743407-cb6ac8f19941?q=80&w=2122&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Oak TV Console,A solid oak TV console with two drawers and open shelving. Clean lines and warm wood tones suit any living room style.,649.99,6,Living Room,https://images.unsplash.com/photo-1664908791396-06604db3b36c?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Velvet Throw Cushions Set of 4,A set of four luxurious velvet throw cushions in complementary muted tones. Instantly elevates sofas and beds.,119.99,20,Decor,https://images.unsplash.com/photo-1559051668-9024c9b5e84b?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Industrial Desk Lamp,A classic industrial-style desk lamp with an adjustable arm and Edison bulb. Perfect for home offices and bedside tables.,99.99,18,Lighting,https://images.unsplash.com/photo-1645454720244-29f8e894f662?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Farmhouse Kitchen Island,A charming farmhouse kitchen island with a butcher block top and two shelves below. Adds storage and workspace to any kitchen.,899.99,4,Dining,https://images.unsplash.com/photo-1768486143865-342d8cc12c90?q=80&w=1770&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
Woven Seagrass Floor Basket,A large handwoven seagrass floor basket with handles. Ideal for storing blankets,79.99,24,Storage,https://images.unsplash.com/photo-1674473919007-06576be5d0d3?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,
